title,release_date,budget,revenue,vote_average,genres_cleaned
I Think I Love My Wife,2007-03-16,11000000.0,13196245.0,5.0,"Comedy, Romance"
Dead Silence,2007-03-16,20000000.0,22217407.0,6.2,Horror
Shooter,2007-03-22,61000000.0,95696996.0,6.9,"Action, Drama, Mystery, Thriller, Crime"
Mr. Bean's Holiday,2007-03-22,25000000.0,229736344.0,6.1,"Family, Comedy"
TMNT,2007-03-23,34000000.0,95608995.0,6.0,"Adventure, Animation, Comedy, Family"
Meet the Robinsons,2007-03-23,150000000.0,169332978.0,6.7,"Animation, Comedy, Family"
Once,2007-03-23,160000.0,20710513.0,7.4,"Drama, Music, Romance"
Reign Over Me,2007-03-23,20000000.0,22222308.0,7.1,Drama
Sunshine,2007-04-05,50000000.0,32017803.0,7.0,"Science Fiction, Thriller"
The Reaping,2007-04-05,40000000.0,62771059.0,5.4,"Thriller, Horror"
[REC],2007-04-10,1500000.0,30448000.0,7.1,"Horror, Mystery"
Perfect Stranger,2007-04-12,60795000.0,73090611.0,5.4,"Crime, Drama, Mystery, Thriller"
Disturbia,2007-04-12,20000000.0,117760134.0,6.6,"Thriller, Drama, Mystery"
In the Land of Women,2007-04-16,10000000.0,17500000.0,5.8,"Romance, Comedy, Drama"
The Last Legion,2007-04-19,67000000.0,25303038.0,5.0,"Action, Adventure, Fantasy, War"
I'm Staying,2007-04-19,1000000.0,404785.0,5.8,"Comedy, Drama, Fantasy"
My Brother Is an Only Child,2007-04-20,5000000.0,6463286.0,6.7,Comedy
Vacancy,2007-04-20,19000000.0,35300645.0,6.0,"Horror, Thriller"
Earth,2007-04-22,15000000.0,109000000.0,7.5,Documentary
Next,2007-04-24,70000000.0,76066841.0,5.9,"Action, Science Fiction, Thriller"
28 Weeks Later,2007-04-26,15000000.0,64238440.0,6.5,"Horror, Thriller, Science Fiction"
The Invisible,2007-04-27,30000000.0,26810113.0,6.0,"Crime, Drama, Fantasy, Mystery, Thriller"
Nobel Son,2007-04-28,4000000.0,333912.0,6.4,"Comedy, Crime, Drama, Thriller"
Brooklyn Rules,2007-04-30,8000000.0,458232.0,5.8,"Drama, Action, Thriller"
Taxi to the Dark Side,2007-04-30,1000000.0,274661.0,6.6,Documentary
Spider-Man 3,2007-05-01,258000000.0,890871626.0,5.9,"Fantasy, Action, Adventure"
Night Of The Living Dead 3D,2007-05-06,3000000.0,1449945.0,4.0,Horror
I Could Never Be Your Woman,2007-05-11,24000000.0,9576495.0,5.7,"Comedy, Drama, Romance"
Stomp the Yard,2007-05-16,13000000.0,75511123.0,6.1,"Drama, Music"
My Blueberry Nights,2007-05-16,10000000.0,21786738.0,6.1,"Drama, Romance"
Shrek the Third,2007-05-17,160000000.0,798958165.0,6.0,"Fantasy, Adventure, Animation, Comedy, Family"
Sicko,2007-05-18,9000000.0,24538513.0,7.3,Documentary
U2 3D,2007-05-19,15000000.0,22730842.0,6.7,"Music, Documentary"
Pirates of the Caribbean: At World's End,2007-05-19,300000000.0,961000000.0,6.9,"Adventure, Fantasy, Action"
Death Proof,2007-05-21,25000000.0,25037897.0,6.7,"Action, Thriller"
The Diving Bell and the Butterfly,2007-05-22,14000000.0,19777647.0,7.5,Drama
Go Go Tales,2007-05-23,4000000.0,907456.0,5.4,"Comedy, Drama"
Shootout at Lokhandwala,2007-05-25,11000000.0,12000000.0,6.0,"Action, Crime, Drama, Foreign"
Waitress,2007-05-25,2000000.0,22179430.0,6.6,Comedy
We Own the Night,2007-05-25,21000000.0,54926886.0,6.5,"Drama, Crime, Thriller"
Gracie,2007-06-01,9000000.0,2955039.0,6.0,Drama
Mr. Brooks,2007-06-01,20000000.0,41637263.0,6.8,"Drama, Crime, Mystery, Thriller"
Knocked Up,2007-06-01,30000000.0,219076518.0,6.2,"Comedy, Romance, Drama"
12,2007-06-06,4000000.0,7537453.0,6.6,"Crime, Drama"
Ocean's Thirteen,2007-06-07,85000000.0,311312624.0,6.5,"Crime, Thriller"
Surf's Up,2007-06-08,85000000.0,149044513.0,5.9,"Animation, Comedy, Family"
Hostel: Part II,2007-06-08,10200000.0,35619521.0,5.6,Horror
Evan Almighty,2007-06-09,175000000.0,173000000.0,5.3,"Fantasy, Comedy, Family"
Fantastic 4: Rise of the Silver Surfer,2007-06-13,130000000.0,289047763.0,5.4,"Adventure, Fantasy, Action, Thriller"
Sivaji: The Boss,2007-06-14,12000000.0,19000000.0,6.9,"Action, Comedy, Drama"
Live Free or Die Hard,2007-06-20,110000000.0,383531464.0,6.4,"Action, Thriller"
Ratatouille,2007-06-22,150000000.0,623722818.0,7.5,"Animation, Comedy, Family, Fantasy"
Transformers,2007-06-27,150000000.0,709709780.0,6.6,"Adventure, Science Fiction, Action"
Harry Potter and the Order of the Phoenix,2007-06-28,150000000.0,938212738.0,7.4,"Adventure, Fantasy, Family, Mystery"
License to Wed,2007-07-04,35000000.0,69307224.0,5.3,Comedy
1408,2007-07-12,25000000.0,94679598.0,6.5,"Horror, Thriller"
I Now Pronounce You Chuck & Larry,2007-07-12,85000000.0,186072214.0,5.8,"Comedy, Romance"
Hairspray,2007-07-13,50000000.0,90450008.0,6.5,"Family, Comedy, Music, Romance"
The Death and Life of Bobby Z,2007-07-23,22000000.0,413454.0,5.8,"Drama, Action, Thriller, Crime"
No Reservations,2007-07-25,28000000.0,92601050.0,6.1,Comedy
The Simpsons Movie,2007-07-25,75000000.0,527068851.0,6.9,"Animation, Comedy, Family"
Shoot 'Em Up,2007-07-26,39000000.0,26820641.0,6.3,"Action, Thriller, Comedy, Crime"
I Know Who Killed Me,2007-07-27,12000000.0,9620399.0,4.0,"Crime, Horror, Mystery, Thriller"
No End in Sight,2007-07-27,2000000.0,1431623.0,7.3,Documentary
The Bourne Ultimatum,2007-08-03,70000000.0,442824138.0,7.3,"Action, Drama, Mystery, Thriller"
Rush Hour 3,2007-08-08,140000000.0,258022233.0,6.1,"Action, Comedy, Crime, Thriller"
Daddy Day Camp,2007-08-08,6000000.0,18197398.0,4.4,"Comedy, Family"
Stardust,2007-08-09,70000000.0,135560026.0,7.2,"Adventure, Fantasy, Romance, Family"
Superbad,2007-08-17,20000000.0,121463226.0,7.0,Comedy
The Invasion,2007-08-17,80000000.0,15071514.0,5.7,"Science Fiction, Thriller"
